epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.294,1.81235,2.62617,1.91874,0.00556,1,0.38652,0.15057,1.47736,3.30026,1.90638,2e-05,2e-05,2e-05
2,31.2828,1.59311,2.56211,1.76887,0.00556,1,0.36705,0.1941,1.68485,3.24622,2.19135,5.9406e-05,5.9406e-05,5.9406e-05
3,61.8496,1.67651,2.53486,1.87586,0.00556,1,0.61714,0.25759,1.4411,3.08899,1.86054,9.802e-05,9.802e-05,9.802e-05
4,92.0404,1.51545,2.31064,1.73366,0.00556,1,0.67474,0.30786,1.27835,3.01334,1.76426,0.000135842,0.000135842,0.000135842
5,124.531,1.42636,2.16085,1.68326,0.00556,1,0.65382,0.43055,1.21398,2.89593,1.60736,0.000172872,0.000172872,0.000172872
